Date,^NDX
2000-07-27,3681.6298828125
2000-07-28,3477.31005859375
2000-07-31,3609.35009765625
2000-08-01,3521.14990234375
2000-08-02,3490.340087890625
2000-08-03,3623.5
2000-08-04,3618.6298828125
2000-08-07,3710.389892578125
2000-08-08,3686.3701171875
2000-08-09,3693.0400390625
2000-08-10,3595.18994140625
2000-08-11,3644.610107421875
2000-08-14,3719.610107421875
2000-08-15,3722.6201171875
2000-08-16,3721.25
2000-08-17,3830.590087890625
2000-08-18,3807.510009765625
2000-08-21,3827.6201171875
2000-08-22,3827.889892578125
2000-08-23,3896.919921875
2000-08-24,3949.570068359375
2000-08-25,3931.25
2000-08-28,3954.239990234375
2000-08-29,3951.93994140625
2000-08-30,3968.72998046875
2000-08-31,4077.590087890625
2000-09-01,4099.2998046875
2000-09-05,3987.030029296875
2000-09-06,3837.6201171875
2000-09-07,3953.360107421875
2000-09-08,3813.43994140625
2000-09-11,3706.739990234375
2000-09-12,3666.8701171875
2000-09-13,3741.75
2000-09-14,3737.419921875
2000-09-15,3676.330078125
2000-09-18,3585.52001953125
2000-09-19,3756.39990234375
2000-09-20,3790.449951171875
2000-09-21,3718.14990234375
2000-09-22,3701.179931640625
2000-09-25,3622.10009765625
2000-09-26,3582.590087890625
2000-09-27,3571.89990234375
2000-09-28,3725.14990234375
2000-09-29,3570.610107421875
2000-10-02,3457.969970703125
2000-10-03,3353.340087890625
2000-10-04,3453.360107421875
2000-10-05,3424.320068359375
2000-10-06,3311.93994140625
2000-10-09,3318.89990234375
2000-10-10,3188.2900390625
2000-10-11,3100.530029296875
2000-10-12,3004.449951171875
2000-10-13,3277.77001953125
2000-10-16,3249.4599609375
2000-10-17,3172.18994140625
2000-10-18,3139.31005859375
2000-10-19,3402.949951171875
2000-10-20,3456.610107421875
2000-10-23,3422.0
2000-10-24,3353.260009765625
2000-10-25,3107.610107421875
2000-10-26,3167.139892578125
2000-10-27,3175.25
2000-10-30,3081.070068359375
2000-10-31,3282.300048828125
2000-11-01,3225.27001953125
